fetched_at,data_timestamp,lat,lon,timezone,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level_pressure,grnd_level_pressure,visibility,wind_speed,wind_direction,clouds_all,sunrise,sunset,rain_1h,snow_1h
2026-03-08T16:02:13.464231,1772985733,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,26.82,28.86,,,1013,74,,,10000,8.35,70,33,1773007771,1773050821,,
2026-03-08T16:02:13.464247,1772985600,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,26.82,28.86,,,1013,74,,,10000,8.35,70,33,,,,
2026-03-08T16:02:13.464253,1772989200,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,26.81,28.84,,,1013,74,,,10000,8.83,68,36,,,,
2026-03-08T16:02:13.464260,1772992800,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,26.82,28.86,,,1013,74,,,10000,8.32,68,39,,,,
2026-03-08T16:02:13.464264,1772996400,14.0760145,120.6321413,Asia/Manila,801,Clouds,few clouds,26.68,28.61,,,1012,74,,,10000,7.7,70,13,,,,
2026-03-08T16:02:13.464267,1773000000,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,26.44,26.44,,,1012,73,,,10000,7.86,72,31,,,,
2026-03-08T16:02:13.464271,1773003600,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,26.04,26.04,,,1012,72,,,10000,7.72,72,53,,,,
2026-03-08T16:02:13.464274,1773007200,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,25.97,25.97,,,1013,72,,,10000,7.79,74,65,,,,
2026-03-08T16:02:13.464277,1773010800,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,27,28.94,,,1014,71,,,10000,8.06,74,72,,,,
2026-03-08T16:02:13.464280,1773014400,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,28.24,30.58,,,1014,66,,,10000,8.49,77,77,,,,
2026-03-08T16:02:13.464283,1773018000,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,28.49,30.07,,,1014,59,,,10000,8.77,71,100,,,,
2026-03-08T16:02:13.464286,1773021600,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,29.39,30.18,,,1014,50,,,10000,8.76,68,99,,,,
2026-03-08T16:02:13.464290,1773025200,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,29.6,29.93,,,1013,46,,,10000,8.7,62,88,,,,
2026-03-08T16:02:13.464293,1773028800,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,30.51,31.16,,,1012,46,,,10000,7.97,55,90,,,,
2026-03-08T16:02:13.464296,1773032400,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,29.91,30.47,,,1012,47,,,10000,7.32,48,88,,,,
2026-03-08T16:02:13.464299,1773036000,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,29.69,30.46,,,1011,49,,,10000,7.99,54,89,,,,
2026-03-08T16:02:13.464302,1773039600,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,31,32.23,,,1011,48,,,10000,8.28,60,90,,,,
2026-03-08T16:02:13.464305,1773043200,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,30.06,31.3,,,1011,51,,,10000,8.94,61,95,,,,
2026-03-08T16:02:13.464308,1773046800,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,28.54,30.02,,,1012,58,,,10000,8.35,69,91,,,,
2026-03-08T16:02:13.464311,1773050400,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,26.59,26.59,,,1013,66,,,10000,7.68,78,78,,,,
2026-03-08T16:02:13.464314,1773054000,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,25.44,25.89,,,1014,71,,,10000,7.6,78,68,,,,
2026-03-08T16:02:13.464317,1773057600,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,25.17,25.6,,,1014,71,,,10000,7.86,77,68,,,,
2026-03-08T16:02:13.464320,1773061200,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,25.11,25.5,,,1015,70,,,10000,8.14,78,100,,,,
2026-03-08T16:02:13.464323,1773064800,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,25.05,25.44,,,1015,70,,,10000,8.16,76,100,,,,
2026-03-08T16:02:13.464326,1773068400,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.64,24.99,,,1015,70,,,10000,7.76,77,100,,,,
2026-03-08T16:02:13.464332,1773072000,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,24.46,24.79,,,1014,70,,,10000,7.4,79,90,,,,
2026-03-08T16:02:13.464335,1773075600,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.38,24.7,,,1014,70,,,10000,7.44,80,83,,,,
2026-03-08T16:02:13.464338,1773079200,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.22,24.53,,,1013,70,,,10000,7.38,78,79,,,,
2026-03-08T16:02:13.464341,1773082800,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.15,24.47,,,1013,71,,,10000,6.85,76,51,,,,
2026-03-08T16:02:13.464344,1773086400,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.21,24.51,,,1013,70,,,10000,7.2,77,81,,,,
2026-03-08T16:02:13.464347,1773090000,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.16,24.49,,,1013,71,,,10000,7.51,80,61,,,,
2026-03-08T16:02:13.464350,1773093600,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.29,24.6,,,1013,70,,,10000,8,78,57,,,,
2026-03-08T16:02:13.464353,1773097200,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,24.72,25.02,,,1014,68,,,10000,7.95,82,59,,,,
2026-03-08T16:02:13.464356,1773100800,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,26.13,26.13,,,1015,63,,,10000,8.8,81,60,,,,
2026-03-08T16:02:13.464359,1773104400,14.0760145,120.6321413,Asia/Manila,801,Clouds,few clouds,27.53,28.42,,,1015,56,,,10000,9.45,75,21,,,,
2026-03-08T16:02:13.464362,1773108000,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,28.7,29.51,,,1015,52,,,10000,9.64,69,35,,,,
2026-03-08T16:02:13.464364,1773111600,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,29.87,30.42,,,1014,47,,,10000,8.74,60,30,,,,
2026-03-08T16:02:13.464367,1773115200,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,30.6,30.97,,,1013,44,,,10000,8.48,56,40,,,,
2026-03-08T16:02:13.464370,1773118800,14.0760145,120.6321413,Asia/Manila,802,Clouds,scattered clouds,31.11,31.36,,,1012,42,,,10000,7.42,55,42,,,,
2026-03-08T16:02:13.464373,1773122400,14.0760145,120.6321413,Asia/Manila,803,Clouds,broken clouds,30.9,30.93,,,1011,41,,,10000,7.23,56,52,,,,
2026-03-08T16:02:13.464376,1773126000,14.0760145,120.6321413,Asia/Manila,804,Clouds,overcast clouds,30.07,30.41,,,1011,45,,,10000,7.34,55,100,,,,
